id,section,kind,text,start,end,note
st-joseph-20,1,inserted,"Before Joseph could act on this decision, an angel appeared to him in a dream, telling him not to be afraid to take Mary as his wife, for the child conceived in her was of the Holy Spirit, and that he was to name the child Jesus , ""for he will save his people from their sins.""",65.42,81.96,
st-joseph-20,1,cleaned,""" Joseph's response is recorded in a single, understated sentence: he did as the angel of the Lord had commanded him. → Joseph's response is recorded in a single, understated sentence: he did as the angel of the Lord had commanded him.",81.96,90.23,stripped leaked leading quote
council-of-elvira-306,0,flagged,"Sometime in the early fourth century — scholars have proposed dates ranging from as early as 300 to as late as 313, with 305 or 306 remaining the most commonly cited estimate — nineteen bishops and roughly two dozen priests gathered at Elvira (ancient Illiberis, near modern Granada) in the Roman province of Hispania Baetica.",,,"No confident resync point nearby — likely a real text edit since the audio was generated, not the splitter bug. Not auto-inserted; consider regenerating this entry's audio."
council-of-elvira-306,0,flagged,"The gathering met either on the eve of, or in the immediate aftermath of, the Diocletianic persecution, at a moment when the Spanish Church, still small and only loosely organized, needed clearer discipline to govern its own communities.",,,"No confident resync point nearby — likely a real text edit since the audio was generated, not the splitter bug. Not auto-inserted; consider regenerating this entry's audio."
council-of-elvira-306,1,flagged,"The council's most prominent figure was Hosius, Bishop of Cordova , who would go on to become one of the most influential churchmen of the fourth century, later serving as a close advisor to Emperor Constantine and presiding, in the emperor's name, over the Council of Nicaea in 325.",,,"No confident resync point nearby — likely a real text edit since the audio was generated, not the splitter bug. Not auto-inserted; consider regenerating this entry's audio."
council-of-elvira-306,1,flagged,"Little else is known with certainty about most of the other bishops present; the historian Victor De Clercq observed that beyond Hosius, ""we know practically nothing about these men,"" a reminder of how thin the surviving record of the pre-Constantinian Spanish Church remains.",,,"No confident resync point nearby — likely a real text edit since the audio was generated, not the splitter bug. Not auto-inserted; consider regenerating this entry's audio."
council-of-elvira-306,2,flagged,"Elvira produced eighty-one disciplinary canons — the largest body of legislation to survive from any pre-Nicene council — covering an unusually wide range of concerns: clerical discipline and conduct the treatment of Christians who had lapsed into idolatry under persecution marriage, including unions with pagans, Jews, and heretics usury, public entertainments, and pagan festivals penitential discipline for various grave sins Many of the penalties prescribed were severe by later standards: idolatry, repeated adultery, and certain other sins carried permanent exclusion from communion, even, in the case of Canon 1, at the point of death.",,,"No confident resync point nearby — likely a real text edit since the audio was generated, not the splitter bug. Not auto-inserted; consider regenerating this entry's audio."
council-of-elvira-306,3,flagged,"Among Elvira's canons, Canon 33 holds particular historical significance: it required bishops, priests, deacons, and other clergy who served at the altar to abstain from conjugal relations with their wives, on pain of removal from office — the earliest surviving conciliar legislation pointing toward what would become, in the Latin Church, the discipline of clerical celibacy.",,,"No confident resync point nearby — likely a real text edit since the audio was generated, not the splitter bug. Not auto-inserted; consider regenerating this entry's audio."
council-of-elvira-306,3,flagged,"A companion canon, 27, addressed the related practice of clergy cohabiting with women under the guise of spiritual companionship, a custom the council judged a serious enough danger to prohibit outright.",,,"No confident resync point nearby — likely a real text edit since the audio was generated, not the splitter bug. Not auto-inserted; consider regenerating this entry's audio."
council-of-elvira-306,4,flagged,"Elvira's canons survive only in manuscript copies rather than any single authoritative original text, and the precise date, and even the full scope of the council's authority beyond the province in which it met, remain matters of scholarly debate.",,,"No confident resync point nearby — likely a real text edit since the audio was generated, not the splitter bug. Not auto-inserted; consider regenerating this entry's audio."
council-of-elvira-306,4,flagged,"Even so, the council stands as the oldest substantial body of Western conciliar legislation to survive from the early Church, offering historians an unusually detailed, if severe, portrait of ordinary Christian discipline in Spain on the very eve of the faith's legal toleration — and its canon on clerical continence would echo, in modified and more fully developed form, through the whole subsequent history of priestly celibacy in the Latin Church.",,,"No confident resync point nearby — likely a real text edit since the audio was generated, not the splitter bug. Not auto-inserted; consider regenerating this entry's audio."
